Bairro,Vizinho,Logradouro,Tipo
Vasco da Gama,Casa Amarela,Rua Santa Maria Goretti,residential
Vasco da Gama,Morro da Conceição,Rua Santa Maria Goretti,residential
Vasco da Gama,Alto José Bonifácio,Rua Santa Maria Goretti,residential
Vasco da Gama,Nova Descoberta,Rua Santa Maria Goretti,residential
Vasco da Gama,Brejo de Beberibe,Rua Santa Maria Goretti,residential
Apipucos,Caxangá,Rua Jorge Tasso Neto,residential
Apipucos,Alto do Mandu,Rua Jorge Tasso Neto,residential
Apipucos,Iputinga,Rua Jorge Tasso Neto,residential
Apipucos,Monteiro,Rua Jorge Tasso Neto,residential
Apipucos,Córrego do Jenipapo,Rua Jorge Tasso Neto,residential
Apipucos,Macaxeira,Rua Jorge Tasso Neto,residential
Apipucos,Dois Irmãos,Rua Jorge Tasso Neto,residential
Dois Irmãos,Caxangá,Rua Professor Cláudio Selva,residential
Dois Irmãos,Córrego do Jenipapo,Rua Professor Cláudio Selva,residential
Dois Irmãos,Apipucos,Rua Professor Cláudio Selva,residential
Dois Irmãos,Sítio dos Pintos,Rua Professor Cláudio Selva,residential
